,fecha,ipc
0,2018-01-01,126.9887
1,2018-02-01,130.0606
2,2018-03-01,133.1054
3,2018-04-01,136.7512
4,2018-05-01,139.5893
5,2018-06-01,144.8053
6,2018-07-01,149.2966
7,2018-08-01,155.1034
8,2018-09-01,165.2383
9,2018-10-01,174.1473
10,2018-11-01,179.6388
11,2018-12-01,184.2552
12,2019-01-01,189.6101
13,2019-02-01,196.7501
14,2019-03-01,205.9571
15,2019-04-01,212.9596414
16,2019-05-01,219.5691
17,2019-06-01,225.537
18,2019-07-01,230.494
19,2019-08-01,239.6077
20,2019-09-01,253.7102
21,2019-10-01,262.0661
22,2019-11-01,273.2158
23,2019-12-01,283.4442
24,2020-01-01,289.8299
25,2020-02-01,295.666
26,2020-03-01,305.5515
27,2020-04-01,310.1243
28,2020-05-01,314.9087
29,2020-06-01,321.9738
30,2020-07-01,328.2014
31,2020-08-01,337.0632
32,2020-09-01,346.6207
33,2020-10-01,359.657
34,2020-11-01,371.0211
35,2020-12-01,385.8826
36,2021-01-01,401.5071
37,2021-02-01,415.8595
38,2021-03-01,435.8657
39,2021-04-01,453.6503
40,2021-05-01,468.725
41,2021-06-01,483.6049
42,2021-07-01,498.0987
43,2021-08-01,510.3942
44,2021-09-01,528.4968
45,2021-10-01,547.0802
46,2021-11-01,560.9184
47,2021-12-01,582.4575
48,2022-01-01,605.0317
49,2022-02-01,633.4341
50,2022-03-01,676.0566
51,2022-04-01,716.9399
52,2022-05-01,753.147
53,2022-06-01,793.0278
54,2022-07-01,851.761
55,2022-08-01,911.1316
56,2022-09-01,967.3076
57,2022-10-01,1028.706
58,2022-11-01,1079.2787
59,2022-12-01,1134.5875
60,2023-01-01,1202.979
61,2023-02-01,1282.7091
62,2023-03-01,1381.1601
63,2023-04-01,1497.2147
64,2023-05-01,1613.5895
65,2023-06-01,1709.6115
66,2023-07-01,1818.0838
67,2023-08-01,2044.2832
68,2023-09-01,2304.9242
69,2023-10-01,2496.273
70,2023-11-01,2816.0628
71,2023-12-01,3533.1922
72,2024-01-01,4261.5324
73,2024-02-01,4825.7881
74,2024-03-01,5357.0929
75,2024-04-01,5830.2271
76,2024-05-01,6073.7
77,2024-06-01,6351.7145
78,2024-07-01,6607.7479
79,2024-08-01,6883.4412
80,2024-09-01,7122.2421
81,2024-10-01,7313.9542
82,2024-11-01,7491.4314
83,2024-12-01,7694.0075
84,2025-01-01,7864.1257
85,2025-02-01,8052.9927
86,2025-03-01,8353.3158
87,2025-04-01,8585.6078
88,2025-05-01,8714.4871
89,2025-06-01,8855.5681
90,2025-07-01,9023.973
91,2025-08-01,9193.2441
92,2025-09-01,9384.0922
93,2025-10-01,9603.8623
94,2025-11-01,9841.3581
95,2025-12-01,10121.3715
96,2026-01-01,10413.0309
97,2026-02-01,10714.6255
98,2026-03-01,11077.0608
99,2026-04-01,11363.0904
